function,table,field,description,units
estimateWoodMass,vst_agb_kg,plot_eventID,,
estimateWoodMass,vst_agb_kg,domainID,Unique identifier of the NEON domain,
estimateWoodMass,vst_agb_kg,siteID,NEON site code,
estimateWoodMass,vst_agb_kg,year,,
estimateWoodMass,vst_agb_kg,eventID,,
estimateWoodMass,vst_agb_kg,date,,
estimateWoodMass,vst_agb_kg,nlcdClass,,
estimateWoodMass,vst_agb_kg,plotType,NEON plot type in which sampling occurred: tower or distributed,
estimateWoodMass,vst_agb_kg,eventType,,
estimateWoodMass,vst_agb_kg,dataCollected,,
estimateWoodMass,vst_agb_kg,plotID,Plot identifier (NEON site code_XXX),
estimateWoodMass,vst_agb_kg,subplotID,,
estimateWoodMass,vst_agb_kg,taxonID,,
estimateWoodMass,vst_agb_kg,scientificName,,
estimateWoodMass,vst_agb_kg,individualID,,
estimateWoodMass,vst_agb_kg,plantStatus2,,
estimateWoodMass,vst_agb_kg,growthForm,,
estimateWoodMass,vst_agb_kg,source,,
estimateWoodMass,vst_agb_kg,agb_kg,,
estimateWoodMass,vst_agb_kg,sampledArea_m2,,
estimateWoodMass,vst_missing,plot_eventID,,
estimateWoodMass,vst_missing,domainID,Unique identifier of the NEON domain,
estimateWoodMass,vst_missing,siteID,NEON site code,
estimateWoodMass,vst_missing,year,,
estimateWoodMass,vst_missing,eventID,,
estimateWoodMass,vst_missing,date,,
estimateWoodMass,vst_missing,plotType,NEON plot type in which sampling occurred: tower or distributed,
estimateWoodMass,vst_missing,eventType,,
estimateWoodMass,vst_missing,dataCollected,,
estimateWoodMass,vst_missing,plotID,,
estimateWoodMass,vst_missing,subplotID,,
estimateWoodMass,vst_missing,taxonID,,
estimateWoodMass,vst_missing,scientificName,,
estimateWoodMass,vst_missing,individualID,,
estimateWoodMass,vst_missing,plantStatus,,
estimateWoodMass,vst_missing,growthForm,,
estimateWoodMass,vst_missing,measurementHeight,,
estimateWoodMass,vst_missing,stemDiameter,,
estimateWoodMass,vst_missing,basalStemDiameter,,
estimateWoodMass,vst_missing,height,,
estimateWoodMass,vst_missing,stemLength,,
estimateWoodMass,vst_missing,maxCrownDiameter,,
estimateWoodMass,vst_missing,ninetyCrownDiameter,,
estimateWoodMass,vst_missing,source,,
estimateWoodMass,vst_missing,agb_kg,,
estimateWoodMass,vst_plot_Mgha,plot_eventID,,
estimateWoodMass,vst_plot_Mgha,domainID,Unique identifier of the NEON domain,
estimateWoodMass,vst_plot_Mgha,siteID,NEON site code,
estimateWoodMass,vst_plot_Mgha,year,,
estimateWoodMass,vst_plot_Mgha,eventID,,
estimateWoodMass,vst_plot_Mgha,nlcdClass,,
estimateWoodMass,vst_plot_Mgha,plotType,NEON plot type in which sampling occurred: tower or distributed,
estimateWoodMass,vst_plot_Mgha,eventType,,
estimateWoodMass,vst_plot_Mgha,dataCollected,,
estimateWoodMass,vst_plot_Mgha,plotID,,
estimateWoodMass,vst_plot_Mgha,agb_Mgha,,
estimateWoodMass,vst_plot_Mgha,live_Mgha,,
estimateWoodMass,vst_plot_Mgha,dead_Mgha,,
estimateWoodMass,vst_site,domainID,Unique identifier of the NEON domain,
estimateWoodMass,vst_site,siteID,NEON site code,
estimateWoodMass,vst_site,year,,
estimateWoodMass,vst_site,woodPlotNum,,
estimateWoodMass,vst_site,woodMassMean_Mgha,,
estimateWoodMass,vst_site,woodMassSD_Mgha,,
estimateWoodMass,vst_site,woodLiveMassMean_Mgha,,
estimateWoodMass,vst_site,woodLiveMassSD_Mgha,,
estimateWoodMass,vst_site,woodDeadMassMean_Mgha,,
estimateWoodMass,vst_site,woodDeadMassSD_Mgha,,
estimateWoodProd,vst_ANPP_site,siteID,NEON site code,
estimateWoodProd,vst_ANPP_site,year,Time 2 yearBoutBegan,
estimateWoodProd,vst_ANPP_site,eventID1,eventID at time 1,
estimateWoodProd,vst_ANPP_site,eventID2,eventID at time 2,
estimateWoodProd,vst_ANPP_site,woodPlotNum,number of plots contributing to woodANPPMean_Mghayr,
estimateWoodProd,vst_ANPP_site,woodANPPSD_Mghayr,Site-level std. dev. of woodANPP_Mghayr plot-level values from vst_ANPP plot,Mg/ha/yr
estimateWoodProd,vst_ANPP_site,woodANPPMean_Mghayr,Site-level mean of woodANPP_Mghayr plot-level values from vst_ANPP plot contributing to woodANPPMean_Mghayr,Mg/ha/yr
estimateWoodProd,vst_ANPP_plot,plotID,Plot identifier (NEON site code_XXX),
estimateWoodProd,vst_ANPP_plot,year,year that sampling bout began,
estimateWoodProd,vst_ANPP_plot,eventID1,eventID at time 1,
estimateWoodProd,vst_ANPP_plot,eventID2,eventID at time 2,
estimateWoodProd,vst_ANPP_plot,siteID,NEON site code,
estimateWoodProd,vst_ANPP_plot,plotType,NEON plot type in which sampling occurred: tower or distributed,
estimateWoodProd,vst_ANPP_plot,samplingInterval,number of years between time 1 and 2 (typically either 1 or 5),years
estimateWoodProd,vst_ANPP_plot,missing1Count,Number of individuals missing at time 1.,
estimateWoodProd,vst_ANPP_plot,missing2Count,Number of individuals missing at time 2.,
estimateWoodProd,vst_ANPP_plot,increment_Mghayr,plot-scale aboveground tree (DP1.10098.001) increment,Mg/ha/yr
estimateWoodProd,vst_ANPP_plot,mortality_Mghayr,plot-scale aboveground tree (DP1.10098.001) mortality,Mg/ha/yr
estimateWoodProd,vst_ANPP_plot,recruitment_Mghayr,plot-scale aboveground tree (DP1.10098.001) recruitment,Mg/ha/yr
estimateWoodProd,vst_ANPP_plot,woodANPP_Mghayr,plot-scale aboveground tree (DP1.10098.001) productivity: increment_Mghayr + mortality_Mghayr – recruitment_Mghayr,Mg/ha/yr
estimateWoodProd,mortality,plotID,Plot identifier (NEON site code_XXX),
estimateWoodProd,mortality,year1,Time 1 yearBoutBegan,
estimateWoodProd,mortality,year2,Time 2 yearBoutBegan,
estimateWoodProd,mortality,eventID1,eventID at time 1,
estimateWoodProd,mortality,eventID2,eventID at time 2,
estimateWoodProd,mortality,siteID,NEON 4-letter terrestrial site ID,
estimateWoodProd,mortality,plotType,NEON plot type in which sampling occurred: tower or distributed,
estimateWoodProd,mortality,individualID,Domain-level unique identifier for an individual: NEON.PLA.D##.######,
estimateWoodProd,mortality,plantStatus1,status of plant at time 1 (always “Live”),
estimateWoodProd,mortality,plantStatus2,"status of plant at time 2 (“Dead_or_lost”, or NA if mortality argument = “all”)",
estimateWoodProd,mortality,stemDiameter,Cross-sectional stem diameter at time 1,centimeter
estimateWoodProd,mortality,height,Highest point of an individual or average height of a patch,meter
estimateWoodProd,mortality,taxonID,"Species code, based on one or more sources",
estimateWoodProd,mortality,biomassWhenLive,biomass of individual at time 1 when it was alive,kilogram
estimateWoodProd,recruitment,plotID,Plot identifier (NEON site code_XXX),
estimateWoodProd,recruitment,year1,Time 1 yearBoutBegan,
estimateWoodProd,recruitment,year2,Time 2 yearBoutBegan,
estimateWoodProd,recruitment,eventID1,eventID at time 1,
estimateWoodProd,recruitment,eventID2,eventID at time 2,
estimateWoodProd,recruitment,siteID,NEON site code,
estimateWoodProd,recruitment,plotType,NEON plot type in which sampling occurred: tower or distributed,
estimateWoodProd,recruitment,individualID,Domain-level unique identifier for an individual: NEON.PLA.D##.######,
estimateWoodProd,recruitment,plantStatus1,Status of plant at time 1 (always NA),
estimateWoodProd,recruitment,plantStatus2,Status of plant at time 2 (always “Live”),
estimateWoodProd,recruitment,stemDiameter,Cross-sectional stem diameter at time 2,centimeter
estimateWoodProd,recruitment,height,Highest point of an individual or average height of a patch,meter
estimateWoodProd,recruitment,taxonID,"Species code, based on one or more sources",
estimateWoodProd,recruitment,biomassAtThreshold,biomass of individual at minimum diameter threshold,kilogram
estimateWoodProd,missing,plotID,Plot identifier (NEON site code_XXX),
estimateWoodProd,missing,year1,Time 1 yearBoutBegan,
estimateWoodProd,missing,year2,Time 2 yearBoutBegan,
estimateWoodProd,missing,eventID1,eventID at time 1,
estimateWoodProd,missing,eventID2,eventID at time 2,
estimateWoodProd,missing,siteID,NEON site code,
estimateWoodProd,missing,plotType,NEON plot type in which sampling occurred: tower or distributed,
estimateWoodProd,missing,individualID,Domain-level unique identifier for an individual: NEON.PLA.D##.######,
